APMC,Commodity,arrivals_in_qtl Seasonality Type,min_price Seasonality Type,max_price Seasonality Type,modal_price Seasonality Type,district_name,state_name
bhokardan,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
pune-pimpri,pavtta,additive,multiplicative,multiplicative,multiplicative,pune,maharashtra
jalgaon,sweet potato,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
kej,maize,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
nashik,mint,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
sangali,maize,multiplicative,multiplicative,multiplicative,multiplicative,sangli,maharashtra
bhiwapur,soybean,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
pune,bhagar/vari,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
nagpur,chikoo,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
sindi (selu),ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,wardha,maharashtra
osmanabad,awala,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
karad,ghevda,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
loha,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,nanded,maharashtra
umarkhed-danki,green gram,not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
manchar,squash gourd,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
tumsar,other pulses,multiplicative,multiplicative,multiplicative,multiplicative,bhandara,maharashtra
amarawati,bitter gourd,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
kalamnuri,sorgum(jawar),multiplicative,not enough data,not enough data,not enough data,hingoli,maharashtra
risod,soybean,multiplicative,multiplicative,multiplicative,multiplicative,wasim,maharashtra
sonpeth,green gram,not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
nagpur,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
shahada,maize,multiplicative,multiplicative,multiplicative,multiplicative,nandurbar,maharashtra
rahata,bajri,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
devala,matki,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
nagpur,green chilli,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
mangalwedha,bitter gourd,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
aurangabad,ginger (fresh),multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
ahmednagar,mango(raw),not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
pune,sweet potato,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
malkapur,sesamum,not enough data,not enough data,not enough data,not enough data,buldhana,maharashtra
balapur,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,akola,maharashtra
ramtek,chavli (shenga ),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
nagpur,sesamum,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
shevgaon-bodhegaon,gram,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
bhokardan,gram,multiplicative,not enough data,not enough data,not enough data,jalna,maharashtra
telhara,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,akola,maharashtra
beed,soybean,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
pune,math (bhaji),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
umared,chillies(red),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
mantha,bajri,multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
zarijamini,sorgum(jawar),not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
pachora,pigeon pea (tur),not enough data,multiplicative,not enough data,not enough data,jalgaon,maharashtra
rahata,coriander ,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
kurdwadi-modnimb,bor,multiplicative,multiplicative,not enough data,not enough data,solapur,maharashtra
kalyan,papai,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
rahata,green chilli,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
mohol,maize,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
ramtek,shevga,not enough data,multiplicative,not enough data,not enough data,nagpur,maharashtra
bhandara,pigeon pea (tur),multiplicative,not enough data,not enough data,not enough data,bhandara,maharashtra
satana,gram,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
aurangabad,melon,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
lonand,maize,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
chandrapur,bitter gourd,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
nampur,green gram,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
hingna,gram,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
mangrulpeer,soybean,multiplicative,multiplicative,multiplicative,multiplicative,wasim,maharashtra
kolhapur-malkapur,coriander  ,not enough data,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
tiwasa,soybean,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
gevrai,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
ramtek,harbara(pendi),not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
vadgaon peth,flower,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
pune,cabbage,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
karad,chikoo,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
solapur,capsicum,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
aurangabad,potato,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
junnar-otur,green chilli,not enough data,multiplicative,multiplicative,multiplicative,pune,maharashtra
kalyan,curry leaves,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
pune-pimpri,chillies(red),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
kannad,black gram,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
pandharkawada,sorgum(jawar),not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
satara,flower,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
akole,onion,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
pathari,gram,multiplicative,not enough data,not enough data,not enough data,parbhani,maharashtra
panvel,ghosali(bhaji),multiplicative,multiplicative,multiplicative,multiplicative,raigad,maharashtra
gondiya,tamarind,not enough data,not enough data,not enough data,not enough data,gondiya,maharashtra
nira,maize,multiplicative,not enough data,not enough data,not enough data,pune,maharashtra
pune,black gram,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
balapur,sesamum,not enough data,not enough data,not enough data,not enough data,akola,maharashtra
nandurbar,gram,multiplicative,multiplicative,multiplicative,multiplicative,nandurbar,maharashtra
aheri,rice(paddy-hus),multiplicative,multiplicative,multiplicative,multiplicative,gadchiroli,maharashtra
dharni,chino,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
nashik,brinjal,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
rahata,coriander  ,multiplicative,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
nandurbar,cotton,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
pandharpur,brinjal,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
sangrampur-varvatbakal,maize,multiplicative,not enough data,multiplicative,multiplicative,buldhana,maharashtra
karad,potato,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
aurangabad,soybean,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
umarga,rice(paddy-hus),not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
kurdwadi,soybean,multiplicative,multiplicative,not enough data,not enough data,solapur,maharashtra
mumbai,sorgum(jawar),not enough data,not enough data,not enough data,not enough data,mumbai,maharashtra
akluj,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
babhulgaon,gram,multiplicative,not enough data,not enough data,not enough data,yewatmal,maharashtra
ahmednagar,bottle gourd,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
amarawati,mango(raw),not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
rahuri-vambori,maize,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
jalgaon,soybean,not enough data,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
latur,maize,multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
sakri,horse gram,not enough data,not enough data,not enough data,not enough data,dhule,maharashtra
kolhapur,ladies finger,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
umarkhed,soybean,multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
mantha,sesamum,not enough data,not enough data,not enough data,not enough data,jalna,maharashtra
indapur,mustard,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
junnar-otur,potato,not enough data,multiplicative,multiplicative,multiplicative,pune,maharashtra
pune-pimpri,gr.nut kernels,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
chandrapur,capsicum,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
rahata,math (bhaji),not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
chopda,soybean,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
ramtek,custard apple,multiplicative,not enough data,not enough data,not enough data,nagpur,maharashtra
sangli-phale bhajipalam,pineapple,multiplicative,multiplicative,multiplicative,multiplicative,sangli,maharashtra
kamthi,mango,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
korpana,soybean,multiplicative,not enough data,not enough data,not enough data,chandrapur,maharashtra
mumbai,chavli (shenga ),not enough data,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
chalisgaon,gram,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
jalgaon jamod,maize,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
chikhali,mustard,multiplicative,not enough data,not enough data,not enough data,buldhana,maharashtra
dharangaon,black gram,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
vadgaon peth,bitter gourd,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
osmanabad,potato,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
mumbai,gram,not enough data,not enough data,not enough data,not enough data,mumbai,maharashtra
dhule,spinach,not enough data,not enough data,not enough data,not enough data,dhule,maharashtra
akluj,soybean,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
manchar,shevga,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
jalna-badnapur,black gram,not enough data,not enough data,not enough data,not enough data,jalna,maharashtra
